,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Chennai,Moderate,105,PM<s>2.5</s>,3,,2015-06-10
,Delhi,Moderate,151,"PM<s>10, </s>PM<s>2.5, </s>O<s>3 </s>",6,,2015-06-10
,Faridabad,Satisfactory,74,PM<s>2.5</s>,1,,2015-06-10
,Hyderabad,Good,40,PM<s>2.5</s>,1,,2015-06-10
,Kanpur,Moderate,114,PM<s>2.5</s>,1,,2015-06-10
,Lucknow,Moderate,131,"PM<s>2.5, </s>CO",3,,2015-06-10
,Navi Mumbai,Moderate,108,CO,1,,2015-06-10
,Varanasi,Very poor,356,PM<s>10</s>,1,,2015-06-10
,,,,,,,2015-06-10
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-11
,Agra,Good,49,PM<s>2.5</s>,1,,2015-06-11
,Ahmedabad,Satisfactory,67,PM<s>2.5</s>,1,,2015-06-11
,Bengaluru,Good,41,CO,2,,2015-06-11
,Chennai,Moderate,108,PM<s>2.5</s>,3,,2015-06-11
,Delhi,Moderate,148,PM<s>2.5</s>,2,,2015-06-11
,Faridabad,Satisfactory,74,PM<s>2.5</s>,1,,2015-06-11
,Hyderabad,Good,46,PM<s>2.5</s>,1,,2015-06-11
,Kanpur,Satisfactory,63,CO,1,,2015-06-11
,Lucknow,Satisfactory,95,CO,2,,2015-06-11
,Navi Mumbai,Moderate,104,CO,1,,2015-06-11
,Varanasi,Very poor,311,PM<s>10</s>,1,,2015-06-11
,,,,,,,2015-06-11
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of stations,,2015-06-13
,Agra,Satisfactory,61,O<s>3</s>,1,,2015-06-13
,Ahmedabad,Satisfactory,79,PM<s>2.5</s>,1,,2015-06-13
,Bengaluru,Good,35,CO,3,,2015-06-13
,Chennai,Moderate,106,PM<s>2.5</s>,3,,2015-06-13
,Delhi,Poor,208,PM<s>2.5</s>,5 (One Station @ 3pm),,2015-06-13
,Faridabad,Poor,233,PM<s>2.5</s>,1,,2015-06-13
,Hyderabad,Good,40,PM<s>2.5</s>,1,,2015-06-13
,Kanpur,Satisfactory,67,CO,1,,2015-06-13
,Lucknow,Moderate,130,PM<s>2.5</s>,2,,2015-06-13
,Navi Mumbai,Moderate,106,CO,1,,2015-06-13
,Varanasi,Moderate,107,"PM<s>10</s>,",1,,2015-06-13
,,,,,,,2015-06-13
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-14
,Agra,Moderate,111,PM<s>2.5</s>,1,,2015-06-14
,Bengaluru,Satisfactory,64,"CO,O<s>3</s>",2,,2015-06-14
,Chennai,Moderate,106,"PM<s>2.5, </s>CO",3,,2015-06-14
,Delhi,Moderate,123,"O<s>3, </s>PM<s>10,</s> PM<s> 2.5</s>",5,,2015-06-14
,Faridabad,Moderate,113,PM<s>2.5 </s>,1,,2015-06-14
,Kanpur,Satisfactory,59,PM<s>2.5</s>,1,,2015-06-14
,Lucknow,Moderate,158,PM<s>2.5</s>,2,,2015-06-14
,Navi Mumbai,Satisfactory,57,PM<s>10</s>,1,,2015-06-14
,Varanasi,Moderate,155,PM<s>10</s>,1,,2015-06-14
,,,,,,,2015-06-14
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-15
,Agra,Satisfactory,73,PM<s>2.5</s>,1,,2015-06-15
,Ahmedabad,Satisfactory,80,PM<s>2.5</s>,1,,2015-06-15
,Bengaluru,Satisfactory,51,CO,1,,2015-06-15
,Chennai,Moderate,119,"PM<s>2.5, </s>CO",3,,2015-06-15
,Delhi,Poor,251,"O<s>3, </s>PM<s>2.5</s>",6,,2015-06-15
,Faridabad,Moderate,154,PM<s>2.5 </s>,1,,2015-06-15
,Hyderabad,Moderate,71,PM<s>2.5</s>,1,,2015-06-15
,Kanpur,Moderate,165,PM<s>2.5</s>,1,,2015-06-15
,Lucknow,Moderate,182,PM<s>2.5</s>,2,,2015-06-15
,Navi Mumbai,Satisfactory,56,CO,1,,2015-06-15
,Varanasi,Moderate,114,PM<s>10</s>,1,,2015-06-15
,,,,,,,2015-06-15
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-16
,Agra,Satisfactory,72,O<s>3</s>,1,,2015-06-16
,Ahmedabad,Satisfactory,65,PM<s>2.5</s>,1,,2015-06-16
,Bengaluru,Good,35,"CO, PM<s>2.5</s>",2,,2015-06-16
,Chennai,Moderate,101,"PM<s>2.5, </s>CO",3,,2015-06-16
,Delhi,Poor,280,"O<s>3, </s>PM<s>2.5,</s> PM<s>10</s>",6,,2015-06-16
