,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Satisfactory,93,O<s>3</s>,1,2017-03-27,,
,Satisfactory,90,PM<s>10</s>,1,2017-03-27,,
,Moderate,196,"O<s>3</s>, PM<s>10</s>",5,2017-03-27,,
,Moderate,103,PM<s>10</s>,<s>#</s>1,2017-03-27,,
,Moderate,175,PM<s>10</s>,1,2017-03-27,,
,Moderate,134,PM<s>2.5</s>,<s>#</s>1,2017-03-27,,
,Satisfactory,95,PM<s>10</s>,2,2017-03-27,,
,Poor,246,PM<s>2.5</s>,3,2017-03-27,,
,Moderate,132,PM<s>10</s>,1,2017-03-27,,
,Moderate,172,PM<s>2.5</s>,1,2017-03-27,,
,Moderate,178,O<s>3</s>,1,2017-03-27,,
,Satisfactory,86,PM<s>10</s>,1,2017-03-27,,
,Satisfactory,53,PM<s>2.5</s>,1,2017-03-27,,
,Moderate,118,PM<s>2.5</s>,1,2017-03-27,,
,Satisfactory,65,PM<s>2.5</s>,<s>#</s>1,2017-03-27,,
,Moderate,137,PM<s>10</s>,1,2017-03-27,,
,Moderate,152,PM<s>2.5</s>,1,2017-03-27,,
,Moderate,138,NO<s>2</s>,1,2017-03-27,,
,Poor,278,PM<s>10</s>,1,2017-03-27,,
,Moderate,146,PM<s>2.5</s>,1,2017-03-28,,
,Moderate,116,PM<s>2.5</s>,1,2017-03-28,,
,Moderate,124,PM<s>10</s>,1,2017-03-28,,
,Satisfactory,69,"O<s>3</s>, NO<s>2</s>",3,2017-03-28,,
,Moderate,177,"PM<s>2.5</s>, O<s>3</s>",2,2017-03-28,,
,Moderate,103,"PM<s>2.5</s>, CO",3,2017-03-28,,
,Poor,228,"PM<s>2.5</s>, PM<s>10</s>",7,2017-03-28,,
,Poor,207,PM<s>2.5</s>,1,2017-03-28,,
,Very Poor,350,PM<s>2.5</s>,1,2017-03-28,,
,Poor,259,PM<s>2.5</s>,1,2017-03-28,,
,Satisfactory,77,PM<s>10</s>,<s>#</s>1,2017-03-28,,
,Moderate,178,"O<s>3</s>, PM<s>10</s>",5,2017-03-28,,
,Moderate,180,PM<s>10</s>,1,2017-03-28,,
,Poor,212,PM<s>10</s>,1,2017-03-28,,
,Poor,265,PM<s>2.5</s>,1,2017-03-28,,
,Satisfactory,80,PM<s>10</s>,2,2017-03-28,,
,Very Poor,333,PM<s>2.5</s>,3,2017-03-28,,
,Moderate,142,PM<s>10</s>,1,2017-03-28,,
,Moderate,183,PM<s>2.5</s>,1,2017-03-28,,
,Moderate,200,PM<s>2.5</s>,1,2017-03-28,,
,Moderate,184,O<s>3</s>,1,2017-03-28,,
,Satisfactory,78,PM<s>10</s>,1,2017-03-28,,
,Satisfactory,84,PM<s>2.5</s>,1,2017-03-28,,
,Poor,286,PM<s>2.5</s>,1,2017-03-28,,
,Moderate,128,PM<s>2.5</s>,1,2017-03-28,,
,Satisfactory,58,PM<s>2.5</s>,1,2017-03-28,,
,Moderate,126,PM<s>10</s>,1,2017-03-28,,
,Moderate,179,PM<s>2.5</s>,1,2017-03-28,,
,Moderate,101,NO<s>2</s>,1,2017-03-28,,
,Very Poor,319,PM<s>2.5</s>,1,2017-03-28,,
,Moderate,171,PM<s>2.5</s>,1,2017-03-29,,
,Satisfactory,70,PM<s>2.5</s>,1,2017-03-29,,
,Moderate,151,PM<s>10</s>,1,2017-03-29,,
,Satisfactory,91,"PM<s>2.5</s>, O<s>3</s>",3,2017-03-29,,
,Moderate,196,"PM<s>10</s>, O<s>3</s>",2,2017-03-29,,
,Satisfactory,71,"PM<s>2.5</s>, CO",3,2017-03-29,,
,Poor,264,"PM<s>2.5</s>, PM<s>10</s>",7,2017-03-29,,
,Moderate,172,PM<s>2.5</s>,1,2017-03-29,,
,Very Poor,352,PM<s>2.5</s>,1,2017-03-29,,
,Very Poor,337,PM<s>2.5</s>,1,2017-03-29,,
,Satisfactory,53,PM<s>10</s>,1,2017-03-29,,
,Moderate,151,"O<s>3</s>, PM<s>10</s>",5,2017-03-29,,
,Moderate,173,PM<s>2.5</s>,<s>#</s>1,2017-03-29,,
,Moderate,134,PM<s>10</s>,1,2017-03-29,,
,Poor,231,PM<s>2.5</s>,1,2017-03-29,,
,Satisfactory,70,PM<s>10</s>,2,2017-03-29,,
,Very Poor,321,PM<s>2.5</s>,3,2017-03-29,,
,Moderate,177,PM<s>10</s>,1,2017-03-29,,
,Moderate,136,PM<s>10</s>,1,2017-03-29,,
,Moderate,126,PM<s>2.5</s>,1,2017-03-29,,
,Poor,213,O<s>3</s>,1,2017-03-29,,
,Poor,205,O<s>3</s>,1,2017-03-29,,
,Satisfactory,77,PM<s>10</s>,1,2017-03-29,,
,Moderate,103,PM<s>2.5</s>,1,2017-03-29,,
,Poor,227,PM<s>2.5</s>,1,2017-03-29,,
,Moderate,102,PM<s>2.5</s>,1,2017-03-29,,
,Good,35,O<s>3</s>,<s>#</s>1,2017-03-29,,
,Moderate,149,PM<s>10</s>,<s>#</s>1,2017-03-29,,
,Moderate,125,PM<s>10</s>,1,2017-03-29,,
,Satisfactory,99,NO<s>2</s>,1,2017-03-29,,
,Satisfactory,87,PM<s>10</s>,1,2017-03-29,,
,Moderate,130,PM<s>2.5</s>,1,2017-03-30,,
,Satisfactory,73,PM<s>10</s>,1,2017-03-30,,
,Moderate,156,PM<s>10</s>,1,2017-03-30,,
,Satisfactory,74,"PM<s>2.5</s>, O<s>3</s>",4,2017-03-30,,
,Moderate,158,"PM<s>10</s>, O<s>3</s>",2,2017-03-30,,
,Satisfactory,93,PM<s>2.5</s>,2,2017-03-30,,
,Moderate,153,PM<s>2.5</s>,3,2017-03-30,,
,Moderate,136,PM<s>10</s>,<s>#</s>1,2017-03-30,,
,Moderate,127,PM<s>2.5</s>,1,2017-03-30,,
,Poor,278,PM<s>2.5</s>,1,2017-03-30,,
,Poor,205,PM<s>2.5</s>,1,2017-03-30,,
,Good,47,PM<s>10</s>,<s>#</s>1,2017-03-30,,
,Moderate,108,"O<s>3</s>, PM<s>10</s>",4,2017-03-30,,
,Poor,277,PM<s>2.5</s>,<s>#</s>1,2017-03-30,,
,Moderate,179,PM<s>2.5</s>,1,2017-03-30,,
,Satisfactory,70,PM<s>10</s>,2,2017-03-30,,
,Poor,258,PM<s>2.5</s>,3,2017-03-30,,
,Moderate,127,PM<s>10</s>,1,2017-03-30,,
,Moderate,118,PM<s>10</s>,1,2017-03-30,,
,Poor,215,PM<s>2.5</s>,1,2017-03-30,,
,Moderate,158,O<s>3</s>,1,2017-03-30,,
,Satisfactory,74,PM<s>10</s>,1,2017-03-30,,
,Satisfactory,64,PM<s>2.5</s>,1,2017-03-30,,
,Poor,221,PM<s>2.5</s>,1,2017-03-30,,
,Moderate,103,PM<s>2.5</s>,1,2017-03-30,,
,Satisfactory,55,PM<s>2.5</s>,<s>#</s>1,2017-03-30,,
,Moderate,129,PM<s>10</s>,1,2017-03-30,,
,Moderate,135,PM<s>10</s>,1,2017-03-30,,
,Satisfactory,97,NO<s>2</s>,1,2017-03-30,,
,Very Poor,355,PM<s>10</s>,1,2017-03-30,,
,Satisfactory,88,PM<s>10</s>,1,2017-03-30,,
,Moderate,162,PM<s>2.5</s>,1,2017-03-31,,
,Moderate,114,PM<s>2.5</s>,1,2017-03-31,,
,Moderate,110,"O<s>3</s>, PM<s>2.5</s>",3,2017-03-31,,
,Moderate,146,PM<s>10</s>,1,2017-03-31,,
,Satisfactory,64,"PM<s>2.5</s>, CO",2,2017-03-31,,
,Moderate,179,"PM<s>2.5</s>, PM<s>10</s>",6,2017-03-31,,
,Moderate,138,PM<s>10</s>,<s>#</s>1,2017-03-31,,
,Moderate,139,PM<s>2.5</s>,1,2017-03-31,,
,Poor,202,PM<s>2.5</s>,1,2017-03-31,,
,Moderate,176,PM<s>2.5</s>,1,2017-03-31,,
,Moderate,131,"O<s>3</s>, PM<s>10</s>",5,2017-03-31,,
,Poor,297,PM<s>2.5</s>,1,2017-03-31,,
,Very Poor,301,O<s>3</s>,1,2017-03-31,,
,Poor,215,PM<s>2.5</s>,1,2017-03-31,,
,Satisfactory,76,"CO, PM<s>10</s>",2,2017-03-31,,
,Poor,256,PM<s>2.5</s>,<s>#</s>3,2017-03-31,,
,Moderate,169,PM<s>10</s>,1,2017-03-31,,
,Moderate,115,PM<s>10</s>,1,2017-03-31,,
,Satisfactory,80,PM<s>2.5</s>,<s>#</s>1,2017-03-31,,
,Poor,212,O<s>3</s>,1,2017-03-31,,
,Moderate,164,O<s>3</s>,1,2017-03-31,,
,Satisfactory,79,PM<s>10</s>,1,2017-03-31,,
,Satisfactory,80,PM<s>2.5</s>,1,2017-03-31,,
,Satisfactory,94,PM<s>10</s>,1,2017-03-31,,
,Satisfactory,59,PM<s>2.5</s>,1,2017-03-31,,
,Moderate,133,PM<s>10</s>,1,2017-03-31,,
,Moderate,111,PM<s>10</s>,1,2017-03-31,,
,Moderate,105,NO<s>2</s>,1,2017-03-31,,
,Poor,263,PM<s>10</s>,1,2017-03-31,,
,Satisfactory,90,PM<s>10</s>,1,2017-03-31,,
,Moderate,173,PM<s>2.5</s>,1,2017-04-01,,
,Good,49,CO,<s>#</s>1,2017-04-01,,
,Moderate,113,"PM<s>2.5</s>, O<s>3</s>",3,2017-04-01,,
,Moderate,181,"PM<s>10</s>, O<s>3</s>",2,2017-04-01,,
,Satisfactory,60,"PM<s>2.5</s>, CO",2,2017-04-01,,
,Poor,240,"PM<s>2.5</s>, PM<s>10</s>",7,2017-04-01,,
,Moderate,125,PM<s>10</s>,<s>#</s>1,2017-04-01,,
,Poor,214,PM<s>2.5</s>,1,2017-04-01,,
,Poor,274,PM<s>2.5</s>,1,2017-04-01,,
,Satisfactory,59,PM<s>10</s>,1,2017-04-01,,
,Moderate,176,"O<s>3</s>, PM<s>10</s>",5,2017-04-01,,
,Moderate,194,PM<s>2.5</s>,1,2017-04-01,,
,Moderate,143,PM<s>10</s>,1,2017-04-01,,
,Satisfactory,68,PM<s>10</s>,<s>#</s>2,2017-04-01,,
,Poor,293,PM<s>2.5</s>,2,2017-04-01,,
,Moderate,185,O<s>3</s>,1,2017-04-01,,
,Satisfactory,91,PM<s>10</s>,1,2017-04-01,,
,Moderate,149,PM<s>2.5</s>,1,2017-04-01,,
,Poor,213,PM<s>2.5</s>,1,2017-04-01,,
,Moderate,135,O<s>3</s>,<s>#</s>1,2017-04-01,,
,Satisfactory,79,PM<s>10</s>,1,2017-04-01,,
,Poor,249,PM<s>2.5</s>,1,2017-04-01,,
,Satisfactory,99,PM<s>2.5</s>,1,2017-04-01,,
,Good,42,PM<s>2.5</s>,<s>#</s>1,2017-04-01,,
,Moderate,151,PM<s>10</s>,1,2017-04-01,,
,Moderate,116,PM<s>10</s>,1,2017-04-01,,
,Satisfactory,92,NO<s>2</s>,1,2017-04-01,,
,Moderate,105,PM<s>10</s>,1,2017-04-01,,
,Moderate,167,PM<s>2.5</s>,1,2017-04-02,,
,Good,40,NO<s>2</s>,1,2017-04-02,,
,Satisfactory,88,"PM<s>2.5</s>, O<s>3</s>",4,2017-04-02,,
,Moderate,169,"PM<s>10</s>, O<s>3</s>",<s>#</s>2,2017-04-02,,
,Satisfactory,68,"PM<s>2.5</s>, CO",2,2017-04-02,,
,Moderate,187,"PM<s>2.5</s>, PM<s>10</s>",7,2017-04-02,,
,Moderate,173,PM<s>2.5</s>,<s>#</s>1,2017-04-02,,
,Poor,201,PM<s>2.5</s>,1,2017-04-02,,
,Poor,228,PM<s>2.5</s>,1,2017-04-02,,
,Good,49,PM<s>10</s>,1,2017-04-02,,
,Moderate,138,"O<s>3</s>, PM<s>10</s>",5,2017-04-02,,
,Poor,211,PM<s>2.5</s>,1,2017-04-02,,
,Moderate,132,PM<s>10</s>,1,2017-04-02,,
,Poor,204,PM<s>2.5</s>,<s>#</s>1,2017-04-02,,
,Satisfactory,66,PM<s>10</s>,2,2017-04-02,,
,Poor,205,PM<s>2.5</s>,2,2017-04-02,,
,Satisfactory,76,PM<s>10</s>,1,2017-04-02,,
,Satisfactory,93,PM<s>2.5</s>,1,2017-04-02,,
,Moderate,174,O<s>3</s>,1,2017-04-02,,
,Satisfactory,100,O<s>3</s>,1,2017-04-02,,
,Satisfactory,69,PM<s>10</s>,1,2017-04-02,,
,Poor,227,PM<s>2.5</s>,<s>#</s>1,2017-04-02,,
,Satisfactory,82,PM<s>10</s>,1,2017-04-02,,
,Good,38,PM<s>2.5</s>,1,2017-04-02,,
,Moderate,104,PM<s>10</s>,1,2017-04-02,,
,Satisfactory,97,PM<s>10</s>,1,2017-04-02,,
,Satisfactory,96,NO<s>2</s>,1,2017-04-02,,
,Poor,249,PM<s>10</s>,1,2017-04-02,,
,Moderate,158,PM<s>2.5</s>,1,2017-04-03,,
,Satisfactory,83,PM<s>10</s>,<s>#</s>1,2017-04-03,,
,Satisfactory,100,"PM<s>2.5</s>, O<s>3</s>",4,2017-04-03,,
,Moderate,191,"PM<s>10</s>, O<s>3</s>",2,2017-04-03,,
,Satisfactory,84,"PM<s>2.5</s>, CO",3,2017-04-03,,
,Moderate,162,"PM<s>2.5</s>, PM<s>10</s>",8,2017-04-03,,
,Moderate,136,PM<s>2.5</s>,1,2017-04-03,,
,Moderate,130,PM<s>2.5</s>,1,2017-04-03,,
,Poor,214,PM<s>2.5</s>,1,2017-04-03,,
,Satisfactory,58,PM<s>10</s>,1,2017-04-03,,
,Moderate,159,"O<s>3</s>, PM<s>10</s>",5,2017-04-03,,
,Poor,220,PM<s>2.5</s>,1,2017-04-03,,
,Satisfactory,87,PM<s>10</s>,1,2017-04-03,,
,Moderate,161,PM<s>2.5</s>,1,2017-04-03,,
,Satisfactory,64,PM<s>10</s>,2,2017-04-03,,
,Poor,203,PM<s>2.5</s>,3,2017-04-03,,
,Poor,235,O<s>3</s>,<s>#</s>1,2017-04-03,,
,Satisfactory,82,PM<s>10</s>,1,2017-04-03,,
,Moderate,195,PM<s>2.5</s>,1,2017-04-03,,
,Moderate,179,O<s>3</s>,1,2017-04-03,,
,Satisfactory,94,PM<s>10</s>,1,2017-04-03,,
,Satisfactory,67,PM<s>10</s>,1,2017-04-03,,
,Poor,253,PM<s>2.5</s>,1,2017-04-03,,
,Moderate,101,PM<s>10</s>,1,2017-04-03,,
,Satisfactory,82,PM<s>2.5</s>,<s>#</s>1,2017-04-03,,
,Satisfactory,93,PM<s>10</s>,1,2017-04-03,,
,Poor,284,PM<s>10</s>,1,2017-04-03,,
,Moderate,162,PM<s>2.5</s>,1,2017-04-04,,
,Satisfactory,72,PM<s>2.5</s>,1,2017-04-04,,
,Moderate,115,PM<s>2.5</s>,1,2017-04-04,,
,Moderate,112,"PM<s>2.5</s>, O<s>3</s>",4,2017-04-04,,
,Moderate,150,"PM<s>10</s>, O<s>3</s>",2,2017-04-04,,
,Satisfactory,100,"PM<s>2.5</s>, CO",3,2017-04-04,,
,Moderate,191,"PM<s>2.5</s>, PM<s>10</s>",7,2017-04-04,,
,Poor,222,PM<s>2.5</s>,1,2017-04-04,,
,Poor,223,PM<s>2.5</s>,1,2017-04-04,,
,Satisfactory,57,PM<s>10</s>,1,2017-04-04,,
,Moderate,116,"O<s>3</s>, PM<s>10</s>",5,2017-04-04,,
,Poor,206,PM<s>2.5</s>,1,2017-04-04,,
,Moderate,183,O<s>3</s>,1,2017-04-04,,
,Moderate,183,PM<s>2.5</s>,1,2017-04-04,,
,Satisfactory,71,PM<s>10</s>,2,2017-04-04,,
,Poor,241,PM<s>2.5</s>,3,2017-04-04,,
,Moderate,140,PM<s>10</s>,<s>#</s>1,2017-04-04,,
,Satisfactory,68,PM<s>10</s>,1,2017-04-04,,
,Moderate,129,PM<s>2.5</s>,<s>#</s>1,2017-04-04,,
,Moderate,176,O<s>3</s>,1,2017-04-04,,
,Satisfactory,89,O<s>3</s>,1,2017-04-04,,
,Satisfactory,72,PM<s>10</s>,1,2017-04-04,,
,Moderate,146,PM<s>2.5</s>,<s>#</s>1,2017-04-04,,
,Satisfactory,89,PM<s>10</s>,1,2017-04-04,,
,Moderate,119,PM<s>2.5</s>,1,2017-04-04,,
,Satisfactory,98,PM<s>10</s>,1,2017-04-04,,
,Satisfactory,77,PM<s>10</s>,1,2017-04-04,,
,Satisfactory,86,PM<s>10</s>,1,2017-04-04,,
,Satisfactory,61,PM<s>2.5</s>,1,2017-04-05,,
,Satisfactory,58,PM<s>10</s>,1,2017-04-05,,
,Satisfactory,93,PM<s>10</s>,1,2017-04-05,,
,Satisfactory,90,"PM<s>2.5</s>, O<s>3</s>",5,2017-04-05,,
,Moderate,144,"PM<s>2.5</s>, O<s>3</s>",2,2017-04-05,,
,Satisfactory,78,PM<s>2.5</s>,2,2017-04-05,,
,Moderate,139,"PM<s>2.5</s>, PM<s>10</s>",6,2017-04-05,,
,Satisfactory,94,PM<s>10</s>,1,2017-04-05,,
,Moderate,115,PM<s>2.5</s>,1,2017-04-05,,
,Moderate,153,PM<s>2.5</s>,1,2017-04-05,,
,Moderate,110,PM<s>2.5</s>,1,2017-04-05,,
,Good,36,PM<s>10</s>,1,2017-04-05,,
,Moderate,121,"PM<s>2.5</s>, O<s>3</s>",5,2017-04-05,,
,Moderate,169,PM<s>2.5</s>,1,2017-04-05,,
,Moderate,195,PM<s>2.5</s>,1,2017-04-05,,
,Poor,202,PM<s>2.5</s>,1,2017-04-05,,
,Satisfactory,63,PM<s>10</s>,1,2017-04-05,,
,Poor,212,"O<s>3</s>, PM<s>2.5</s>",3,2017-04-05,,
,Satisfactory,78,PM<s>10</s>,<s>#</s>1,2017-04-05,,
,Satisfactory,76,PM<s>10</s>,1,2017-04-05,,
,Good,50,PM<s>2.5</s>,1,2017-04-05,,
,Moderate,134,O<s>3</s>,<s>#</s>1,2017-04-05,,
,Satisfactory,86,O<s>3</s>,1,2017-04-05,,
,Satisfactory,71,PM<s>10</s>,1,2017-04-05,,
,Satisfactory,71,PM<s>2.5</s>,1,2017-04-05,,
,Moderate,111,PM<s>2.5</s>,1,2017-04-05,,
,Satisfactory,66,PM<s>10</s>,1,2017-04-05,,
,Satisfactory,94,PM<s>2.5</s>,1,2017-04-05,,
,Satisfactory,96,PM<s>10</s>,1,2017-04-05,,
,Satisfactory,66,PM<s>10</s>,<s>#</s>1,2017-04-05,,
,Satisfactory,87,NO<s>2</s>,1,2017-04-05,,
,Poor,211,PM<s>10</s>,1,2017-04-05,,
,Satisfactory,88,PM<s>10</s>,1,2017-04-05,,
,Satisfactory,97,PM<s>2.5</s>,1,2017-04-06,,
,Satisfactory,98,"PM<s>2.5</s>, O<s>3</s>",<s>#</s>3,2017-04-06,,
,Moderate,152,PM<s>10</s>,1,2017-04-06,,
,Satisfactory,94,PM<s>2.5</s>,3,2017-04-06,,
,Moderate,132,"PM<s>2.5</s>, PM<s>10</s>",6,2017-04-06,,
,Satisfactory,100,PM<s>10</s>,<s>#</s>1,2017-04-06,,
,Moderate,119,PM<s>2.5</s>,1,2017-04-06,,
,Moderate,105,PM<s>2.5</s>,1,2017-04-06,,
,Good,49,PM<s>10</s>,1,2017-04-06,,
,Moderate,126,"PM<s>2.5</s>, O<s>3</s>",5,2017-04-06,,
,Severe,433,PM<s>10</s>,1,2017-04-06,,
,Very Poor,346,PM<s>2.5</s>,1,2017-04-06,,
,Good,49,PM<s>10</s>,2,2017-04-06,,
,Moderate,199,PM<s>2.5</s>,3,2017-04-06,,
,Satisfactory,74,PM<s>10</s>,1,2017-04-06,,
,Satisfactory,66,PM<s>2.5</s>,1,2017-04-06,,
,Satisfactory,98,PM<s>10</s>,1,2017-04-06,,
,Satisfactory,68,PM<s>10</s>,1,2017-04-06,,
,Satisfactory,55,PM<s>2.5</s>,1,2017-04-06,,
,Satisfactory,69,PM<s>10</s>,1,2017-04-06,,
,Good,34,O<s>3</s>,1,2017-04-06,,
,Moderate,112,PM<s>10</s>,1,2017-04-06,,
,Satisfactory,97,NO<s>2</s>,1,2017-04-06,,
,Moderate,195,PM<s>2.5</s>,1,2017-04-06,,
,Satisfactory,99,PM<s>10</s>,<s>#</s>1,2017-04-06,,
,Moderate,199,PM<s>2.5</s>,<s>#</s>1,2017-04-07,,
,Moderate,109,PM<s>10</s>,1,2017-04-07,,
,Satisfactory,90,"PM<s>2.5</s>, O<s>3</s>",4,2017-04-07,,
,Moderate,179,PM<s>10</s>,1,2017-04-07,,
,Moderate,104,"PM<s>2.5</s>, CO",3,2017-04-07,,
,Very Poor,383,"PM<s>2.5</s>, PM<s>10</s>",6,2017-04-07,,
,Moderate,112,PM<s>10</s>,<s>#</s>1,2017-04-07,,
,Poor,265,PM<s>2.5</s>,1,2017-04-07,,
,Poor,216,PM<s>2.5</s>,1,2017-04-07,,
,Severe,447,PM<s>2.5</s>,1,2017-04-07,,
,Good,44,PM<s>10</s>,1,2017-04-07,,
,Moderate,127,"PM<s>2.5</s>, O<s>3</s>",5,2017-04-07,,
,Very Poor,361,PM<s>2.5</s>,1,2017-04-07,,
,Very Poor,397,PM<s>2.5</s>,1,2017-04-07,,
,Satisfactory,57,"CO, PM<s>10</s>",2,2017-04-07,,
,Poor,249,PM<s>2.5</s>,3,2017-04-07,,
,Poor,237,PM<s>10</s>,1,2017-04-07,,
,Moderate,103,PM<s>10</s>,1,2017-04-07,,
,Moderate,107,PM<s>2.5</s>,1,2017-04-07,,
,Moderate,151,O<s>3</s>,<s>#</s>1,2017-04-07,,
,Satisfactory,100,O<s>3</s>,1,2017-04-07,,
,Satisfactory,92,PM<s>10</s>,1,2017-04-07,,
,Moderate,157,PM<s>2.5</s>,1,2017-04-07,,
,Moderate,186,PM<s>2.5</s>,<s>#</s>1,2017-04-07,,
,Satisfactory,74,PM<s>10</s>,1,2017-04-07,,
,Poor,206,PM<s>2.5</s>,1,2017-04-07,,
,Moderate,104,PM<s>10</s>,1,2017-04-07,,
,Satisfactory,80,PM<s>10</s>,1,2017-04-07,,
,Satisfactory,93,PM<s>10</s>,1,2017-04-07,,
,Poor,249,PM<s>2.5</s>,1,2017-04-08,,
,Moderate,154,O<s>3</s>,1,2017-04-08,,
,Satisfactory,82,"PM<s>2.5</s>, O<s>3</s>",3,2017-04-08,,
,Moderate,178,"PM<s>10</s>, O<s>3</s>",2,2017-04-08,,
,Satisfactory,93,"PM<s>2.5</s>, CO",3,2017-04-08,,
,Poor,295,"PM<s>2.5</s>, PM<s>10</s>",7,2017-04-08,,
,Poor,243,PM<s>2.5</s>,1,2017-04-08,,
,Poor,244,PM<s>2.5</s>,1,2017-04-08,,
,Moderate,171,PM<s>2.5</s>,1,2017-04-08,,
,Satisfactory,56,PM<s>10</s>,1,2017-04-08,,
,Moderate,158,"PM<s>2.5</s>, PM<s>10</s>",5,2017-04-08,,
,Moderate,191,PM<s>10</s>,1,2017-04-08,,
,Poor,277,PM<s>2.5</s>,<s>#</s>1,2017-04-08,,
,Very Poor,323,PM<s>2.5</s>,<s>#</s>1,2017-04-08,,
,Good,49,PM<s>10</s>,1,2017-04-08,,
,Poor,240,"O<s>3</s>, PM<s>2.5</s>",3,2017-04-08,,
,Moderate,188,PM<s>10</s>,1,2017-04-08,,
,Poor,204,PM<s>10</s>,1,2017-04-08,,
,Moderate,188,O<s>3</s>,<s>#</s>1,2017-04-08,,
,Poor,279,O<s>3</s>,1,2017-04-08,,
,Satisfactory,99,PM<s>10</s>,1,2017-04-08,,
,Satisfactory,84,PM<s>2.5</s>,1,2017-04-08,,
,Poor,216,PM<s>2.5</s>,1,2017-04-08,,
,Satisfactory,85,PM<s>10</s>,1,2017-04-08,,
,Poor,274,PM<s>2.5</s>,1,2017-04-08,,
,Moderate,130,PM<s>10</s>,1,2017-04-08,,
,Moderate,161,PM<s>10</s>,<s>#</s>1,2017-04-08,,
,Moderate,194,PM<s>2.5</s>,1,2017-04-09,,
,Satisfactory,53,NO<s>2</s>,1,2017-04-09,,
,Moderate,186,O<s>3</s>,1,2017-04-09,,
,Satisfactory,70,"PM<s>2.5</s>, O<s>3</s>",3,2017-04-09,,
,Moderate,191,PM<s>10</s>,1,2017-04-09,,
,Satisfactory,78,"PM<s>2.5</s>, CO",3,2017-04-09,,
,Moderate,155,"PM<s>2.5</s>, PM<s>10</s>",8,2017-04-09,,
,Moderate,111,PM<s>2.5</s>,1,2017-04-09,,
,Poor,209,PM<s>2.5</s>,1,2017-04-09,,
,Poor,246,PM<s>2.5</s>,1,2017-04-09,,
,Good,50,PM<s>10</s>,1,2017-04-09,,
,Moderate,191,"PM<s>2.5</s>, PM<s>10</s>",4,2017-04-09,,
,Moderate,142,PM<s>10</s>,1,2017-04-09,,
,Moderate,169,PM<s>2.5</s>,1,2017-04-09,,
,Good,49,PM<s>10</s>,1,2017-04-09,,
,Poor,289,PM<s>2.5</s>,3,2017-04-09,,
,Moderate,118,PM<s>10</s>,1,2017-04-09,,
,Moderate,195,O<s>3</s>,1,2017-04-09,,
,Poor,215,PM<s>2.5</s>,1,2017-04-09,,
,Poor,271,O<s>3</s>,1,2017-04-09,,
,Moderate,103,PM<s>10</s>,1,2017-04-09,,
,Satisfactory,58,PM<s>2.5</s>,1,2017-04-09,,
,Moderate,117,PM<s>2.5</s>,1,2017-04-09,,
,Moderate,130,PM<s>2.5</s>,1,2017-04-09,,
,Moderate,107,CO,<s>#</s>1,2017-04-09,,
,Very Poor,317,O<s>3</s>,<s>#</s>1,2017-04-09,,
,Moderate,107,PM<s>10</s>,1,2017-04-09,,
,Very Poor,383,PM<s>10</s>,1,2017-04-09,,
,Satisfactory,81,PM<s>10</s>,1,2017-04-09,,
,Satisfactory,76,PM<s>2.5</s>,<s>#</s>1,2017-04-10,,
,Satisfactory,54,PM<s>10</s>,1,2017-04-10,,
,Moderate,176,O<s>3</s>,1,2017-04-10,,
,Satisfactory,97,"PM<s>2.5</s>, O<s>3</s>",3,2017-04-10,,
,Poor,227,PM<s>10</s>,1,2017-04-10,,
,Satisfactory,85,"PM<s>2.5</s>, CO",3,2017-04-10,,
,Moderate,164,"PM<s>2.5</s>, PM<s>10</s>",8,2017-04-10,,
,Moderate,105,CO,1,2017-04-10,,
,Poor,220,PM<s>2.5</s>,<s>#</s>1,2017-04-10,,
,Very Poor,316,PM<s>2.5</s>,1,2017-04-10,,
,Satisfactory,55,SO<s>2</s>,1,2017-04-10,,
,Moderate,186,"O<s>3</s>, PM<s>10</s>",5,2017-04-10,,
,Satisfactory,99,PM<s>10</s>,<s>#</s>1,2017-04-10,,
,Poor,203,O<s>3</s>,1,2017-04-10,,
,Good,49,O<s>3</s>,1,2017-04-10,,
,Moderate,181,"O<s>3</s>, PM<s>2.5</s>",3,2017-04-10,,
,Moderate,140,PM<s>10</s>,1,2017-04-10,,
,Moderate,173,PM<s>10</s>,1,2017-04-10,,
,Moderate,199,O<s>3</s>,<s>#</s>1,2017-04-10,,
,Poor,210,O<s>3</s>,1,2017-04-10,,
,Moderate,112,PM<s>10</s>,1,2017-04-10,,
,Good,40,PM<s>2.5</s>,1,2017-04-10,,
,Moderate,108,PM<s>2.5</s>,1,2017-04-10,,
,Satisfactory,78,PM<s>2.5</s>,1,2017-04-10,,
,Moderate,136,PM<s>10</s>,1,2017-04-10,,
,Poor,258,O<s>3</s>,1,2017-04-10,,
,Satisfactory,91,PM<s>10</s>,1,2017-04-10,,
,Moderate,123,PM<s>2.5</s>,1,2017-04-11,,
,Satisfactory,72,PM<s>2.5</s>,1,2017-04-11,,
,Moderate,155,O<s>3</s>,1,2017-04-11,,
,Satisfactory,85,"PM<s>2.5</s>, O<s>3</s>",4,2017-04-11,,
,Moderate,172,PM<s>10</s>,1,2017-04-11,,
,Satisfactory,99,PM<s>2.5</s>,<s>#</s>3,2017-04-11,,
,Moderate,182,"PM<s>2.5</s>, PM<s>10</s>",8,2017-04-11,,
